unique_id,template_version,name,from,procedure,section,item_content,item_check,item_note,item_ident
user_93FEA497-E977-4367-955B-148DB21784E8,0.1,Boeing 737 PROC +CHECKLIST+GSX,MAOR COHEN,,,,,,
,,,,PREFLIGHT,,,,,
,,,,,,GPU & JETWAY OR STAIRS,REQUEST,GSX,
,,,,,,FUEL & CATERING,REQUEST,GSX,
,,,,,,PARKING BRAKE,SET,,
,,,,,,BATTERY,GUARD CLOSED,,
,,,,,,STANDBY POWER,GUARD CLOSED,,
,,,,,,L CENTER FUEL PUMP,AS REQ,,
,,,,,,L AFT FUEL PUMP,AS REQ,,
,,,,,,APU,START,,
,,,,,,APU GEN,ON,,
,,,,,,POS LIGHTS,STEADY,,
,,,,,,LOGO LIGHT,AS REQ,,
,,,,,,CABIN LIGHTS,AS REQ,,
,,,,,,EMER EXIT LIGHTS,GUARD CLOSED,,
,,,,,,PASSENGER SIGNS,ON,,
,,,,,,PACKS,AUTO / HIGH,,
,,,,,,IRS MODE SELECTORS,OFF > NAV,,
,,,,,,FMC,SET,,
,,,,,,Flight-plan Clearance,Request,,
,,,,,,TRANSPONDER,SET,,
,,,,,,IAS / MACH SPEED,SET,,
,,,,,,HDG / TAKEOFF RWY,SET,,
,,,,,,INITIAL ALT,SET,,
,,,,,,YAW DAMPER,ON,,
,,,,,,WINDOW HEAT,ON,,
,,,,,,FLIGHT ALTITUDE,SET,,
,,,,,,LANDING ALTITUDE,SET,,
,,,,,,FLIGHT DIRECTORS,ON,,
,,,,,,LNAV,AS REQ,,
,,,,,,VNAV,AS REQ,,
,,,,,,MINIMUMS REF,BARO or RADIO,,
,,,,,,MINIMUMS,SET,,
,,,,,,ALTIMETER REF,IN or HPA,,
,,,,,,AUTO BRAKE,RTO,,
,,,,,,COM RADIOS,SET,,
,,,,,,PASSENGER BOARDING,REQUEST,GSX,
,,,,,PREFLIGHT CHECKLIST ,,,,
,,,,,,OXYGEN,TESTED 100%,,
,,,,,,NAV TRANSER & DISPLAY SWITCHS,"NORMAL, AUTO",,
,,,,,,WINDOWHEAT,ON,,
,,,,,,PERSSURIZATION MODE SELECTOR,AUTO,,
,,,,,,FLIGHT INSTRUMENTS,"HEADIND____, ALTIMETER_____",,
,,,,,,PARKING BRAKE,SET,,
,,,,,,ENGINE START LEVERS,CUTOFF,,
,,,,,PREFLIGHT CHECKLIST COMPLETED,,,,
,,,,BEFORE START,,,,,
,,,,,,Pushback & Startup Clearance,Request ,,
,,,,,,AUTOTHROTTLE,ARM,,
,,,,,,L & R C FUEL PUMPS,AS REQ,,
,,,,,,A & F FUEL PUMPS,ON,,
,,,,,,ELEC HYD PUMPS,ON,,
,,,,,,ANTI COLL LIGHT,ON,,
,,,,,,PARKING BRAKE,SET,,
,,,,,,GROUND EQUIPMENT,REMOVED,,
,,,,,,ENGINE AREA,CLEAR,,
,,,,,BEFORE START CHECKLIST ,,,,
,,,,,,FLIGHT DECK DOOR,CLOSE & LOCK,,
,,,,,,FUEL ,"___KG , PUMP ON",,
,,,,,,SINGS,ON,,
,,,,,,MCP,"V2__ , HDG__ , ALT__",,
,,,,,,TAKEOFF SPEED,"V1__ , VR__ , V2__",,
,,,,,,CDU PREFLIGHT,COMPLETED,,
,,,,,,RUDDER & AIRERON TRIM,FREE & 0,,
,,,,,,TAXI & TAKEOFF BRIEFING,COMPLETED,,
,,,,,,ANTI COLL LIGHT,ON,,
,,,,,BEFORE START CHECKLIST COMPLETED,,,,
,,,,ENGINE START,,,,,
,,,,,,SEC DISPLAY UNIT,ENGINE,,
,,,,,,PACKS,OFF,,
,,,,,,ENGINE 1 START SWITCH,GND,,
,,,,,,ENGINE 1 FUEL CONTROL LEVER,RUN,,
,,,,,,ENGINE 2 START SWITCH,GND,,
,,,,,,ENGINE 2 FUEL CONTROL LEVER,RUN,,
,,,,BEFORE TAXI,,,,,
,,,,,,GENERATORS 1 & 2,ON,,
,,,,,,PROBE HEAT,ON,,
,,,,,,WING ANTI ICE,AS REQ,,
,,,,,,ENGINE ANTI ICE,AS REQ,,
,,,,,,PACKS,AUTO,,
,,,,,,ISOLATION VALVE,AUTO,,
,,,,,,APU BLEED,OFF,,
,,,,,,APU,OFF,,
,,,,,,ENG START SWITCHES,CONT,,
,,,,,,FLAPS,AS REQ,,
,,,,,,ELEVATOR TRIM,SET FOR TAKE-OFF,,
,,,,,,FLIGHT CONTROLS,FREE AND CORRECT,,
,,,,,,RECALL (737-800 only),CHECK,,
,,,,,,LOWER DISPLAY UNIT (DU),OFF,,
,,,,,,Taxi Clearance,Request ,,
,,,,,,TAXI LIGHTS,ON,,
,,,,,,RWY TURN-OFF LIGHTS,AS REQ,,
,,,,,BEFORE TAXI CHECKLIST,,,,
,,,,,,GENERATORS ,ON,,
,,,,,,PROBE HEAT,ON,,
,,,,,,ANTI ICE,___,,
,,,,,,ISOLATION VALVE,AUTO,,
,,,,,,ENG START SWITCHES,CONT,,
